Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:44Z;3773346292;12.245259;46.6154913
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:44Z;3773346293;12.2439202999999;46.6155175999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:44Z;3773346294;12.2428484999999;46.615518
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:44Z;3773346295;12.2428126;46.6155192
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:44Z;3773346296;12.243898;46.6155367
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346297;12.243898;46.6155367
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346298;12.2439584;46.6155407999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346299;12.2428504;46.6155424
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346300;12.2428142;46.6155443999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346301;12.2428142;46.6155443999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346302;12.2439344;46.6155576
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346303;12.2454807999999;46.6156335
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346304;12.2455123;46.6156464999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346305;12.2454447;46.6156842999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346306;12.2454447;46.6156842999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346307;12.2454775;46.6156972
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:45Z;3773346308;12.2456375;46.6157016
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346309;12.2456663999999;46.6157096999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346310;12.2437437;46.615713
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346311;12.2436373;46.6157187
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346312;12.2436373;46.6157187
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346313;12.2437448999999;46.6157349
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346314;12.2436463;46.6157402999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346315;12.242565;46.6157417
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346316;12.2425099;46.6157432999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346317;12.245614;46.6157447
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346318;12.245614;46.6157447
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346319;12.2438832;46.6157508
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346320;12.2456453;46.6157528
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346321;12.2425706;46.6157585999999
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346322;12.2439336999999;46.6157589
AURONZO DI CADORE;BELLUNO;Veneto;;2015;2015-10-05T14:47:46Z;3773346323;12.2439336999999;46.6157589
